id,report_type,report_text,activity,hazard,barrier,barrier_status,barrier_failure,sif_potential,sif_level,life_saving_rule,source_type
SYN-0001,UNSAFE_CONDITION,Technician started maintenance on the pump before energy isolation was verified. Prototype record 1.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0002,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 2.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0003,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 3.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0004,UNSAFE_CONDITION,The designated walkway was cleaned after routine material handling. Prototype record 4.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0005,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 5.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0006,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 6.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0007,UNSAFE_CONDITION,Worker used ladder at height without fall protection. Prototype record 7.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0008,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 8.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0009,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 9.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0010,UNSAFE_CONDITION,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 10.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0011,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 11.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0012,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 12.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0013,UNSAFE_CONDITION,Operator bypassed the rotating equipment interlock during operations. Prototype record 13.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0014,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 14.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0015,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 15.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0016,UNSAFE_CONDITION,Energy isolation was verified and documented before scheduled maintenance. Prototype record 16.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0017,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 17.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0018,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 18.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0019,UNSAFE_CONDITION,Worker stood below a suspended load during crane lifting without barricading. Prototype record 19.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0020,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 20.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0021,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 21.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0022,UNSAFE_CONDITION,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 22.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0023,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 23.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0024,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 24.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0025,UNSAFE_CONDITION,Technician started maintenance on the pump before energy isolation was verified. Prototype record 25.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0026,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 26.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0027,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 27.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0028,UNSAFE_CONDITION,The designated walkway was cleaned after routine material handling. Prototype record 28.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0029,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 29.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0030,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 30.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0031,UNSAFE_CONDITION,Worker used ladder at height without fall protection. Prototype record 31.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0032,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 32.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0033,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 33.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0034,UNSAFE_CONDITION,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 34.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0035,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 35.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0036,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 36.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0037,UNSAFE_CONDITION,Operator bypassed the rotating equipment interlock during operations. Prototype record 37.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0038,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 38.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0039,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 39.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0040,UNSAFE_CONDITION,Energy isolation was verified and documented before scheduled maintenance. Prototype record 40.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0041,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 41.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
