id	report_type	report_text	activity	hazard	barrier	barrier_status	barrier_failure	sif_potential	sif_level	life_saving_rule	source_type
SYN-01001	UNSAFE_CONDITION	two riggers positioned themselves directly under a 2-ton suspended load at the parking structure to adjust the sling angle instead of using tag lines.	Lifting	Suspended Load	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01002	UNSAFE_CONDITION	Water fountain leaking near the parking structure, creating a small puddle on the tile floor.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01003	UNSAFE_CONDITION	Gas test was performed at the entry point but never re-verified after a contractor moved deeper into the vessel at the water treatment area.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not verified	TRUE	MEDIUM	Confined Space	SYNTHETIC
SYN-01004	UNSAFE_CONDITION	an operator was found working at 8ft elevation without a harness clipped to any anchor point.	Work at Height	Fall Hazard	Fall Protection	FAILED	not used	TRUE	HIGH	Working at Height	SYNTHETIC
SYN-01005	UNSAFE_CONDITION	Operator used a magnet to bypass the press brake interlock at the parking structure, cycling parts faster with hands near the point of operation.	Maintenance	Moving Machinery	Energy Isolation	FAILED	bypassed	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01006	UNSAFE_CONDITION	Icy patch near the entrance at the machine shop was not salted in time, a coworker nearly lost footing. No injury occurred.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01007	UNSAFE_CONDITION	Permit for tank entry at the warehouse mezzanine was signed but no continuous atmospheric monitoring was actually running once a supervisor was inside.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not verified	TRUE	MEDIUM	Confined Space	SYNTHETIC
SYN-01008	UNSAFE_CONDITION	a rigger tripped over a garden hose left across the walkway near Building 12, a minor bruise reported.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01009	UNSAFE_CONDITION	An excavation over 5ft deep at the east process area had no shoring or trench box installed while two workers worked inside cutting pipe.	Excavation	Engulfment	Shoring	FAILED	not performed	TRUE	HIGH	Line of Fire	SYNTHETIC
SYN-01010	NEAR_MISS	LOTO was applied and verified with a zero-energy check before opening the gearbox cover at Building 7; no incident occurred.	Maintenance	Stored Energy	LOTO	EFFECTIVE		FALSE	LOW	Energy Isolation	SYNTHETIC
SYN-01011	UNSAFE_CONDITION	printer paper jam at the east process area; a supervisor cut a finger on the tray edge, minor first aid given. Work was stopped immediately.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01012	UNSAFE_CONDITION	a technician noticed a pallet jack veering due to a damaged wheel at Building 7 and pulled it from service.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01013	UNSAFE_CONDITION	a contractor bypassed the machine guard interlock at the water treatment area to clear a jam while the conveyor was still running.	Maintenance	Moving Machinery	Energy Isolation	FAILED	bypassed	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01014	UNSAFE_CONDITION	Inspection tag on the harness used by a supervisor at the maintenance bay had expired three months ago and was still in service at 4m.	Work at Height	Fall Hazard	Fall Protection	FAILED	expired	TRUE	MEDIUM	Working at Height	SYNTHETIC
SYN-01015	UNSAFE_CONDITION	a coworker discovered a leaking drum with no label near the plant entrance; no spill kit had been deployed. This has been flagged to the site HSE team.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01016	UNSAFE_CONDITION	A liquid spill near the break area at the loading dock sat unaddressed for a while before a coworker noted it.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01017	UNSAFE_CONDITION	a visiting inspector noticed a leaking fixture near the pipe rack pooling water on the floor.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01018	NEAR_MISS	Vehicle reversed toward a group of workers near the utility yard with no spotter present; workers had to jump clear.	Driving	Line of Fire	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01019	UNSAFE_CONDITION	Pump breaker at the utility yard was locked out but the tag was missing name and date; a second mechanic nearly re-energized it thinking the job was done. Area has since been addressed.	Maintenance	Stored Energy	LOTO	FAILED	not verified	TRUE	MEDIUM	Energy Isolation	SYNTHETIC
SYN-01020	UNSAFE_CONDITION	Entry into the confined space at the rail siding occurred with no atmospheric monitoring in place; a coworker noticed a maintenance mechanic climbing out gasping for air.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not performed	TRUE	HIGH	Confined Space	SYNTHETIC
SYN-01021	UNSAFE_CONDITION	Two riggers positioned themselves directly under a 1.5-ton suspended load at Line 2 to adjust the sling angle instead of using tag lines. Corrective action has been requested.	Lifting	Suspended Load	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01022	UNSAFE_CONDITION	a maintenance mechanic racked in a breaker at the maintenance bay believing downstream equipment was isolated; no LOTO tags or locks had been applied by the previous crew.	Electrical Work	Electrical Energy	Energy Isolation	FAILED	not verified	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01023	UNSAFE_CONDITION	vehicle reversed toward a group of workers near the pipe rack with no spotter present; workers had to jump clear.	Driving	Line of Fire	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01024	UNSAFE_CONDITION	an operator flagged overloaded shelving units leaning slightly at the compressor shed.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01025	UNSAFE_CONDITION	a welder spotted a minor oil leak beneath equipment at the site with no absorbent materials on hand.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01026	UNSAFE_CONDITION	a rigger noticed forklift forks left elevated in a walkway at the loading dock, posing a strike hazard.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01027	UNSAFE_CONDITION	Welding was performed on a drum believed empty at the warehouse mezzanine without testing the atmosphere; residual flammable vapor was later found inside.	Hot Work	Fire	Fire Watch	FAILED	not performed	TRUE	HIGH	Hot Work	SYNTHETIC
SYN-01028	UNSAFE_CONDITION	Printer paper jam at the south yard; an electrician cut a finger on the tray edge, minor first aid given. Work was stopped immediately.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01029	UNSAFE_CONDITION	A liquid spill near the break area at the tank farm sat unaddressed for a while before a subcontractor crew noted it.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01030	UNSAFE_CONDITION	Overflowing trash bin near Unit 3 attracting pests, flagged during a cleanliness walk-through. This has been flagged to the site HSE team.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01031	UNSAFE_CONDITION	a supervisor racked in a breaker at the north tank farm believing downstream equipment was isolated; no LOTO tags or locks had been applied by the previous crew. Supervisor was notified on the spot.	Electrical Work	Electrical Energy	Energy Isolation	FAILED	not verified	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01032	UNSAFE_CONDITION	Poor ventilation near the site while a generator idled led an operator to report feeling lightheaded briefly.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01033	UNSAFE_CONDITION	Vehicle reversed toward a group of workers near the south yard with no spotter present; workers had to jump clear.	Driving	Line of Fire	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01034	UNSAFE_CONDITION	a contractor walked underneath a 1.5-ton load being repositioned at the fabrication shop rather than staying clear of the fall zone.	Lifting	Suspended Load	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01035	UNSAFE_CONDITION	Icy patch near the entrance at the loading dock was not salted in time, a new hire nearly lost footing.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01036	NEAR_MISS	Trench at Unit 3 was properly shored with a box and sloped walls per competent-person inspection; minor sidewall crumbling was contained. Area has since been addressed.	Excavation	Engulfment	Shoring	EFFECTIVE		FALSE	LOW	Line of Fire	SYNTHETIC
SYN-01037	UNSAFE_CONDITION	Vehicle reversed toward a group of workers near the admin block with no spotter present; workers had to jump clear.	Driving	Line of Fire	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01038	NEAR_MISS	Crane setup at the loading dock was verified with outriggers fully extended and ground mats in place before lifting 3,000lb; load remained stable throughout.	Lifting	Suspended Load	Safe Mechanical Lifting	EFFECTIVE		FALSE	LOW	Safe Mechanical Lifting	SYNTHETIC
SYN-01039	UNSAFE_CONDITION	A cracked and raised floor tile at the pipe rack was noted as a hazard by a coworker. Supervisor was notified on the spot.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01040	UNSAFE_CONDITION	isolation on the hydraulic press at the utility yard was not confirmed between shifts before a rigger placed hands inside the die area.	Maintenance	Stored Energy	LOTO	FAILED	not verified	TRUE	MEDIUM	Energy Isolation	SYNTHETIC
SYN-01041	NEAR_MISS	Vehicle reversed toward a group of workers near the tank farm with no spotter present; workers had to jump clear.	Driving	Line of Fire	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01042	UNSAFE_CONDITION	two workers was using a fall arrest lanyard with a visibly worn stitch pattern while working at 6m near Unit 3. Corrective action has been requested.	Work at Height	Fall Hazard	Fall Protection	FAILED	expired	TRUE	MEDIUM	Working at Height	SYNTHETIC
SYN-01043	UNSAFE_CONDITION	working at height near the machine shop, a contractor had unclipped fully to reposition and did not reconnect for several minutes, during day shift.	Work at Height	Fall Hazard	Fall Protection	FAILED	not used	TRUE	HIGH	Working at Height	SYNTHETIC
SYN-01044	UNSAFE_CONDITION	a contractor bypassed the machine guard interlock at Unit 3 to clear a jam while the conveyor was still running.	Maintenance	Moving Machinery	Energy Isolation	FAILED	bypassed	TRUE	HIGH	Energy Isolation	SYNTHETIC
